#R_1, R_2, delta_t, I, U
22.7, 27.03, 312, 156.5, 16.39
27.03, 31.28, 331, 159.7, 16.75
31.28, 35.48, 339, 160.0, 16.81
35.48, 39.65, 368, 160.6, 16.88
39.65, 43.8, 374, 161.0, 16.95
43.8, 47.93, 378, 161.3, 17.00
47.93, 52.04, 426, 161.6, 17.04
52.04, 56.13, 422, 161.8, 17.07
56.13, 60.2, 372, 161.9, 17.09
60.2, 64.25, 371, 162.1, 17.11
64.25, 68.28, 518, 162.2, 17.12
68.28, 72.29, 508, 162.2, 17.13
72.29, 76.28, 528, 162.3, 17.16
76.28, 80.25, 492, 162.4, 17.17
80.25, 84.21, 517, 162.5, 17.18
84.21, 88.17, 494, 162.5, 17.18
88.17, 92.13, 488, 162.5, 17.17
92.13, 96.07, 481, 162.6, 17.18
96.07, 100.0, 504, 162.6, 17.17
